id,description,event_cause,priority,police_station,corridor
FKID000000,s m circle in coming  man track,vehicle_breakdown,High,Peenya,Tumkur Road
FKID000001,Starting problem,vehicle_breakdown,High,HSR Layout,ORR East 1
FKID000002,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,others,Low,Wilson Garden,Non-corridor
FKID000003,tree fall,tree_fall,Low,Sadashivanagar,Non-corridor
FKID000004,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,vehicle_breakdown,Low,Wilson Garden,Non-corridor
FKID000006,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,vehicle_breakdown,Low,Kengeri,Non-corridor
FKID000007,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,others,Low,Cubbon Park,Non-corridor
FKID000008,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",public_event,High,Cubbon Park,CBD 2
FKID000010,woter logging [PERSON] moment ph [PHONE],water_logging,High,K.R. Pura,ORR East 2
FKID000012,lorry undar pass woter logging trafick swol moment ph [PHONE],water_logging,High,Mahadevapura,ORR East 2
FKID000013,Starting problem,others,High,Hebbala,ORR North 1
FKID000014,traffic slow moving and accident happening,pot_holes,High,Halasur,Old Madras Road
FKID000015,ಟೈರ್ ಪಂಚರ್,others,High,Kodigehalli,Bellary Road 2
FKID000016,tyear blost,others,High,Kodigehalli,Bellary Road 2
FKID000017,[LOCATION] parked at ring road sir traffic little bit slow sir,others,High,Hennuru,ORR North 1
FKID000018,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,tree_fall,Low,Jayanagara,Non-corridor
FKID000019,KSRTC bus mechanic [PERSON] sir that's why vehicle not moving,vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID000020,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,vehicle_breakdown,High,Madiwala,Hosur Road
FKID000024,water logging with drainage leakage near [LOCATION] bus stop [LOCATION] road.,water_logging,Low,Whitefield,Non-corridor
FKID000026,Chamber hole,pot_holes,High,Shivajinagar,
FKID000027,Bmtc bus offload due to gear box problem,vehicle_breakdown,High,Mico Layout,Bannerghata Road
