id,description,event_cause,priority,police_station,corridor
FKID004223,Due to battery died it's off roaded near [LOCATION] sir towards [PERSON] turn from muttyalam junction,vehicle_breakdown,High,Jalahalli,ORR North 2
FKID005904,Starting problem traffic no issues,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID006298,Starting problem traffic no issues,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID006441,Starting problem traffic no issues,vehicle_breakdown,High,Peenya,Tumkur Road
FKID002654,[LOCATION] on flyover towards airport due to starting problem sir traffic no problem sir,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID001394,ಕೋಗಿಲು ವಿಲೇಜ್ ಕಡೆಯಿಂದ  ಕೋಗಿಲು ಕ್ರಾಸ್ ಕಡೆಗೆ HGV ವೈಕಲ್  ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ  ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ಸ್ ಸ್ಲೋ ಇರುತ್ತದೆ ಸರ್,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID007066,[PERSON] towards city At [LOCATION],vehicle_breakdown,High,K.S. Layout,ORR West 1
FKID006143,"Peenya flyover incoming [PERSON] turn on flyover lgv vehicle off road, vehicle One side moving towards goragontepalya.",vehicle_breakdown,High,Peenya,Tumkur Road
FKID007271,Due to break jam.. it's off roaded near HP petrol pump mes road towards gg palya,vehicle_breakdown,High,Jalahalli,ORR North 2
FKID004981,ನಮಸ್ಕಾರ ಮೇಡಂ ಬಿಎಂಟಿಸಿ ಬಸ್,vehicle_breakdown,High,HAL Old Airport,ORR East 1
FKID004665,[LOCATION] onflyover to wards airport cab clutch plate problem sir traffic normal mument sir,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID005105,HGV OFF ROAD NEAR LOVELY JUNCTION,vehicle_breakdown,High,Mahadevapura,ORR East 2
FKID004132,Hgv vehicle breakdown bomsandra flavour down [PERSON],vehicle_breakdown,Low,Electronic City,Non-corridor
FKID001567,ಟ್ರಾಫಿಕ್ ನಾರ್ಮಲ್ ಸರ್,vehicle_breakdown,High,Kamakshipalya,Magadi Road
