id,description,event_cause,corridor,priority,requires_road_closure,address,latitude,longitude,start_datetime,end_datetime,status,duration_minutes,retrieval_text
FKID000008,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",public_event,CBD 2,High,False,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",12.97883573,77.59953728,2024-02-12 02:05:46+00:00,2024-02-12 14:05:46+00:00,closed,720.0,"public_event | CBD 2 | Cricket Match at M Chinnaswamy Satdium, [LOCATION]."
FKID000040,[LOCATION] works going on sir,construction,ORR East 1,High,False,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.946469,77.6986754,,2024-01-30 11:31:46+00:00,closed,,construction | ORR East 1 | [LOCATION] works going on sir
FKID000052,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,construction,ORR East 2,High,False,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9694079,77.7006346,,2024-01-31 09:05:46+00:00,closed,,construction | ORR East 2 | [LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work
FKID000082,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,construction,ORR East 2,High,False,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.969418,77.7006526,,2024-03-08 10:05:46+00:00,closed,,construction | ORR East 2 | karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work
FKID000139,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,construction,ORR East 2,High,False,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9693576,77.7006406,,2024-02-01 09:05:46+00:00,closed,,construction | ORR East 2 | [LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work
FKID000158,Off road bmtc bus,construction,Old Madras Road,High,False,"St Marks Road, Anil Kumble Chowk, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9762232,77.6016656,,2024-01-31 18:26:46+00:00,closed,,construction | Old Madras Road | Off road bmtc bus
FKID000166,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",construction,Bellary Road 2,High,False,"Bengaluru Bellary Road, Hunsemarrenhalli Junction, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India)",13.1511992,77.620242,,2024-02-01 06:07:46+00:00,closed,,"construction | Bellary Road 2 | ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ"
FKID000192,k ride work,construction,Non-corridor,Low,False,"Hesaraghatta Main Road, Sri M Vishveshwaraiah Layout, Chikkabanavara, Bengaluru, Karnataka. Pin-560090 (India)",13.07835,77.502205,,2024-03-08 04:32:46+00:00,closed,,construction | Non-corridor | k ride work
FKID000229,ರಸ್ತೆ ಕಾಮಗಾರಿ ಸಲುವಾಗಿ ಮಾರ್ಕೆಟ್ ಸರ್ಕಲ ಕಡೆ ಹೋಗುವ flyover ಮುಚ್ಚಲಾಗಿರುತ್ತದೆ,construction,Mysore Road,High,True,"Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",12.965034,77.5747048,,2024-02-01 11:31:46+00:00,closed,,construction | Mysore Road | ರಸ್ತೆ ಕಾಮಗಾರಿ ಸಲುವಾಗಿ ಮಾರ್ಕೆಟ್ ಸರ್ಕಲ ಕಡೆ ಹೋಗುವ flyover ಮುಚ್ಚಲಾಗಿರುತ್ತದೆ
FKID000235,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,construction,ORR East 2,High,False,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9694199,77.7006686,,2024-02-02 09:05:46+00:00,closed,,construction | ORR East 2 | [LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work
