event_cause,corridor,priority,requires_road_closure,police_station,hour_of_day,day_of_week,is_peak_hour,duration_min
vehicle_breakdown,ORR East 1,High,0,HSR Layout,4,1,0,10.37758925
vehicle_breakdown,Non-corridor,Low,0,Wilson Garden,4,1,0,38.74983805
tree_fall,Non-corridor,Low,0,Jayanagara,19,3,1,293.3450075
vehicle_breakdown,Hosur Road,High,0,Madiwala,19,3,1,27.2487523
others,Bellary Road 1,High,1,High ground,20,3,0,106.41915116666668
others,Tumkur Road,High,0,Yeshwanthpura,20,3,0,133.52983253333335
vehicle_breakdown,ORR East 1,High,0,Bellandur,21,1,0,55.541728516666666
vehicle_breakdown,Bellary Road 1,High,0,High ground,21,1,0,69.32987603333332
road_conditions,Non-corridor,Low,0,Whitefield,21,1,0,61.27697078333333
vehicle_breakdown,Non-corridor,Low,0,Mahadevapura,22,1,0,36.41233746666667
vehicle_breakdown,ORR East 1,High,0,HAL Old Airport,23,1,0,10.513486133333334
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,23,1,0,83.22766023333334
tree_fall,Non-corridor,Low,0,J.P. Nagar,20,3,0,321.23818236666665
vehicle_breakdown,West of Chord Road,High,0,Vijayanagara,0,2,0,44.18835605
vehicle_breakdown,West of Chord Road,High,0,Vijayanagara,0,2,0,41.797760616666665
vehicle_breakdown,Non-corridor,Low,0,Chamarajpet,1,2,0,26.158530816666666
others,Non-corridor,Low,0,Jnanabharathi,21,3,0,15.88912515
tree_fall,Non-corridor,Low,0,Pulikeshinagar(F.Town),21,3,0,116.8119772
vehicle_breakdown,Non-corridor,Low,0,Electronic City,2,2,0,83.47854003333333
vehicle_breakdown,Mysore Road,High,0,Ashok Nagar,5,2,0,52.75157615
vehicle_breakdown,ORR North 1,High,0,Banaswadi,21,3,0,74.82553706666666
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,4,2,0,47.68990556666667
tree_fall,Non-corridor,Low,0,R.T. Nagar,21,3,0,8.620181266666666
vehicle_breakdown,ORR West 1,High,0,Banashankari,5,2,0,141.02791743333333
construction,Bellary Road 1,High,0,Hebbala,22,3,0,545.3734030166667
tree_fall,Non-corridor,Low,1,Basavanagudi,23,3,0,61.79462865
vehicle_breakdown,Mysore Road,High,0,Chamarajpet,8,2,1,102.3569732
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,20,2,0,102.53794968333334
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,20,2,0,106.48373361666667
vehicle_breakdown,Hosur Road,High,1,Madiwala,19,2,1,75.3592525
pot_holes,Non-corridor,Low,1,K.R. Pura,0,6,0,365.2268505833334
water_logging,ORR East 1,High,0,HAL Old Airport,23,3,0,49.972616783333336
vehicle_breakdown,Mysore Road,High,1,Halasuru Gate,23,3,0,111.6212591
vehicle_breakdown,Hosur Road,High,0,Electronic City,0,4,0,52.83199456666667
others,Non-corridor,Low,0,Jnanabharathi,0,4,0,81.46960444999999
others,Mysore Road,High,0,Byatarayanapura,23,2,0,15.3042995
tree_fall,Non-corridor,Low,1,R.T. Nagar,0,4,0,178.15932105
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,0,3,0,11.80107465
vehicle_breakdown,Magadi Road,High,0,Magadi Road,1,4,0,24.504338233333332
vehicle_breakdown,Tumkur Road,High,0,Peenya,1,3,0,86.29591815
vehicle_breakdown,ORR North 1,High,0,Hebbala,2,3,0,18.84050655
vehicle_breakdown,Bellary Road 1,High,0,Sadashivanagar,3,3,0,23.641425966666667
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,4,4,0,36.504006333333336
vehicle_breakdown,Mysore Road,High,1,Byatarayanapura,4,4,0,23.382822833333332
vehicle_breakdown,Non-corridor,Low,0,R.T. Nagar,4,4,0,104.21347743333334
vehicle_breakdown,Bellary Road 1,High,0,High ground,2,3,0,86.29412574999999
vehicle_breakdown,Old Airport Road,High,0,Jeevanbheemanagar,4,4,0,70.8526748
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,4,4,0,72.9697583
construction,Bellary Road 2,High,0,Chikkajala,4,3,0,60.798384383333335
others,Bannerghata Road,High,0,Hulimavu,5,3,0,119.59072880000001
vehicle_breakdown,Non-corridor,Low,0,Wilson Garden,3,3,0,78.98550595
vehicle_breakdown,ORR North 2,High,0,Jalahalli,5,4,0,138.03128305
vehicle_breakdown,Old Airport Road,High,0,Jeevanbheemanagar,5,3,0,28.376774483333335
vehicle_breakdown,Non-corridor,Low,0,Jayanagara,5,4,0,93.05635131666666
vehicle_breakdown,Hosur Road,High,0,Electronic City,6,3,0,11.49699995
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,7,3,1,66.23017465000001
others,Non-corridor,Low,0,Chamarajpet,6,4,0,199.88949181666666
vehicle_breakdown,Hosur Road,High,0,Madiwala,8,3,1,75.03727443333334
others,Hennur Main Road,High,0,K.G. Halli,6,4,0,43.87439846666667
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,20,3,0,22.174727083333334
tree_fall,Non-corridor,Low,1,Jnanabharathi,7,4,1,105.48940756666666
vehicle_breakdown,Mysore Road,High,0,Halasuru Gate,21,3,0,57.51257438333334
vehicle_breakdown,Tumkur Road,High,0,Peenya,21,3,0,33.33879541666667
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,7,4,1,39.6093981
vehicle_breakdown,Tumkur Road,High,0,Peenya,7,4,1,10.150965166666667
tree_fall,Non-corridor,Low,1,Jayanagara,8,4,1,66.3340463
vehicle_breakdown,ORR East 1,High,0,HAL Old Airport,23,3,0,19.115834
tree_fall,Non-corridor,Low,0,Electronic City,8,4,1,64.12170315
others,Non-corridor,Low,1,Sadashivanagar,1,4,0,42.96236663333333
others,Non-corridor,Low,0,Whitefield,3,4,0,87.31756581666667
vehicle_breakdown,Mysore Road,High,0,Ashok Nagar,8,4,1,66.13607151666666
vehicle_breakdown,ORR East 1,High,0,Bellandur,4,4,0,13.551236183333334
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,5,4,0,30.63011775
vehicle_breakdown,Non-corridor,Low,0,Electronic City,6,4,0,18.7735204
vehicle_breakdown,Non-corridor,Low,0,Mico Layout,6,4,0,77.0688961
others,Non-corridor,Low,0,Sheshadripuram,10,4,0,25.367629383333334
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,18,4,1,15.771932999999999
accident,Old Airport Road,High,0,Jeevanbheemanagar,19,4,1,35.956496816666665
vehicle_breakdown,Old Airport Road,High,0,HAL Old Airport,19,4,1,27.47141106666667
others,Mysore Road,High,0,Jnanabharathi,21,4,0,17.062712316666666
vehicle_breakdown,Non-corridor,Low,0,K.R. Pura,21,4,0,35.281999049999996
others,Non-corridor,Low,0,Bellandur,22,4,0,1.0946760500000001
vehicle_breakdown,ORR West 1,High,0,J.P. Nagar,0,5,0,20.211203416666667
vehicle_breakdown,Bellary Road 1,High,0,High ground,22,4,0,141.64393971666667
accident,Non-corridor,Low,0,Chamarajpet,19,4,1,78.2774947
vehicle_breakdown,ORR West 1,High,0,Banashankari,4,5,0,36.08605643333333
vehicle_breakdown,Hosur Road,High,0,Electronic City,6,5,0,31.520573033333335
vehicle_breakdown,Tumkur Road,High,0,Peenya,5,5,0,132.2670364
vehicle_breakdown,Non-corridor,Low,0,Sheshadripuram,6,5,0,72.34147603333332
vehicle_breakdown,Hosur Road,High,0,Madiwala,6,5,0,96.5241556
tree_fall,Non-corridor,Low,0,Kodigehalli,22,4,0,508.2992390666667
vehicle_breakdown,ORR West 1,High,0,Banashankari,21,4,0,75.99775528333333
vehicle_breakdown,Old Airport Road,High,0,Halasur,8,5,1,10.359373833333333
vehicle_breakdown,Bellary Road 1,High,0,Kodigehalli,9,5,1,10.859754400000002
vehicle_breakdown,ORR North 1,High,0,Banaswadi,17,5,1,80.29286535
vehicle_breakdown,ORR East 1,High,0,HSR Layout,18,5,1,16.53580991666667
others,Mysore Road,High,0,Jnanabharathi,20,5,0,36.87994801666667
vehicle_breakdown,Non-corridor,Low,0,Pulikeshinagar(F.Town),21,5,0,83.28090113333333
vehicle_breakdown,Non-corridor,Low,0,Mahadevapura,22,5,0,23.753298683333334
vehicle_breakdown,Non-corridor,Low,0,Electronic City,23,5,0,73.46585520000001
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,23,5,0,72.26638113333334
vehicle_breakdown,Bellary Road 1,High,0,Kodigehalli,23,5,0,92.67076003333334
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,0,6,0,14.5656122
vehicle_breakdown,Non-corridor,Low,0,K.R. Pura,0,6,0,12.90432295
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,2,6,0,102.77983354999999
vehicle_breakdown,Tumkur Road,High,0,Peenya,1,6,0,104.3606748
vehicle_breakdown,Non-corridor,Low,0,Mahadevapura,1,5,0,11.195320116666666
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,3,6,0,79.53191238333334
accident,Non-corridor,Low,0,Yelahanka,2,5,0,0.8491233333333333
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,5,6,0,17.161744300000002
vehicle_breakdown,Non-corridor,Low,0,Wilson Garden,2,5,0,69.83975466666668
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,3,5,0,10.261219083333334
vehicle_breakdown,Non-corridor,Low,0,R.T. Nagar,5,6,0,15.854282233333333
vehicle_breakdown,Old Airport Road,High,0,Jeevanbheemanagar,6,6,0,40.82496125
vehicle_breakdown,Mysore Road,High,0,Ashok Nagar,5,5,0,39.93153236666667
tree_fall,Non-corridor,Low,1,Basavanagudi,6,5,0,52.854736083333336
water_logging,Non-corridor,Low,0,Basavanagudi,6,5,0,45.86103
others,Magadi Road,High,0,Magadi Road,7,5,1,24.955134649999998
vehicle_breakdown,Non-corridor,Low,0,Banashankari,8,6,1,22.23222121666667
vehicle_breakdown,Non-corridor,Low,0,Devanahalli Airport,9,6,1,32.981926566666665
vehicle_breakdown,Non-corridor,Low,1,Wilson Garden,19,6,1,24.749764333333335
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,19,6,1,107.40422818333333
vehicle_breakdown,ORR West 1,High,0,Byatarayanapura,22,6,0,39.407815049999996
accident,Tumkur Road,High,0,Peenya,23,6,0,34.37267258333333
vehicle_breakdown,Tumkur Road,High,0,Peenya,0,0,0,45.264776866666665
vehicle_breakdown,Non-corridor,Low,0,Basavanagudi,0,0,0,45.61544075
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,1,0,0,77.75613968333333
others,ORR East 2,High,0,HAL Old Airport,2,0,0,170.56828548333334
