event_cause,corridor,priority,requires_road_closure,police_station,hour_of_day,day_of_week,is_peak_hour,duration_min
vehicle_breakdown,Non-corridor,Low,0,Whitefield,5,1,0,15.559016000000002
vehicle_breakdown,West of Chord Road,High,0,Malleshwaram,6,4,0,27.245910016666667
vehicle_breakdown,Non-corridor,Low,1,K.R. Pura,6,4,0,91.56274088333332
vehicle_breakdown,Old Madras Road,High,0,Shivajinagar,9,4,1,10.69749235
vehicle_breakdown,Old Madras Road,High,0,Halasur,22,4,0,84.41191578333334
vehicle_breakdown,Non-corridor,Low,0,Jalahalli,5,1,0,28.7572406
others,Mysore Road,High,0,City Market,4,0,0,33.46089618333333
vehicle_breakdown,Non-corridor,Low,0,Chamarajpet,20,5,0,21.79317205
vehicle_breakdown,Old Madras Road,High,0,Jeevanbheemanagar,7,2,1,12.342886116666667
vehicle_breakdown,Old Airport Road,High,0,Halasur,11,5,0,69.93821856666666
vehicle_breakdown,Bannerghata Road,High,0,Hulimavu,7,6,1,23.094614033333336
others,ORR East 2,High,0,K.R. Pura,3,0,0,18.06991683333333
vehicle_breakdown,CBD 1,High,0,Shivajinagar,5,5,0,55.216074733333336
others,Non-corridor,Low,0,Halasuru Gate,3,1,0,75.05420305
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,22,5,0,58.02695011666666
water_logging,Non-corridor,Low,0,Wilson Garden,7,4,1,31.00352213333333
tree_fall,Non-corridor,Low,1,Sadashivanagar,7,5,1,44.1921915
vehicle_breakdown,Hosur Road,High,0,Madiwala,6,6,0,1.4245817833333334
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,7,6,1,22.74252915
vehicle_breakdown,ORR North 2,High,0,Jalahalli,7,1,1,8.985578633333335
vehicle_breakdown,CBD 2,High,0,Cubbon Park,4,4,0,15.845159116666668
road_conditions,Bellary Road 1,High,0,Sadashivanagar,3,1,0,61.000142933333336
vehicle_breakdown,ORR North 2,High,0,Jalahalli,19,5,1,8.8561709
vehicle_breakdown,Old Madras Road,High,0,Jeevanbheemanagar,23,4,0,78.34826575000001
vehicle_breakdown,Non-corridor,Low,0,HAL Old Airport,4,4,0,34.95256223333333
